"Category Index","Sub-Category Index","Product Name","href link"
"2","3","DELICATE OIL-FREE POWDER BLUSH","https://demo.abantecart.com/index.php?rt=product/product&path=36_38&product_id=57"
"2","4","LANCOME HYPNOSE DOLL LASHES MASCARA 4-PIECE GIFT SET","https://demo.abantecart.com/index.php?rt=product/product&path=36_41&product_id=108"
"2","4","VIVA GLAM LIPSTICK","https://demo.abantecart.com/index.php?rt=product/product&path=36_41&product_id=59"
"2","4","LE ROUGE ABSOLU RESHAPING & REPLENISHING LIPCOLOUR SPF 15","https://demo.abantecart.com/index.php?rt=product/product&path=36_41&product_id=55"
"2","5","FLUID SHINE NAIL POLISH","https://demo.abantecart.com/index.php?rt=product/product&path=36_42&product_id=99"
"2","5","NAIL LACQUER","https://demo.abantecart.com/index.php?rt=product/product&path=36_42&product_id=60"
"2","6","LANCOME HYPNOSE DOLL LASHES MASCARA 4-PIECE GIFT SET","https://demo.abantecart.com/index.php?rt=product/product&path=36_37&product_id=108"
"2","6","COLOR DESIGN EYE BRIGHTENING ALL IN ONE 5 SHADOW & LINER PALETTE","https://demo.abantecart.com/index.php?rt=product/product&path=36_37&product_id=61"
"3","1","ABSOLUE EYE PRECIOUS CELLS","https://demo.abantecart.com/index.php?rt=product/product&path=43_47&product_id=65"
"3","1","EYE MASTER","https://demo.abantecart.com/index.php?rt=product/product&path=43_47&product_id=96"
"3","1","EYE REJUVENATING SERUM","https://demo.abantecart.com/index.php?rt=product/product&path=43_47&product_id=97"
"3","2","TOTAL MOISTURE FACIAL CREAM","https://demo.abantecart.com/index.php?rt=product/product&path=43_46&product_id=66"
"3","2","BODY CREAM BY BULGARI","https://demo.abantecart.com/index.php?rt=product/product&path=43_46&product_id=92"
"3","2","JASMIN NOIR BODY LOTION 6.8 FL OZ","https://demo.abantecart.com/index.php?rt=product/product&path=43_46&product_id=91"
"3","2","CREME PRECIEUSE NUIT 50ML","https://demo.abantecart.com/index.php?rt=product/product&path=43_46&product_id=93"
"3","2","LANCOME VISIONNAIRE ADVANCED SKIN CORRECTOR","https://demo.abantecart.com/index.php?rt=product/product&path=43_46&product_id=109"
"3","3","NIGHT CARE CREMA NERA OBSIDIAN MINERAL COMPLEX","https://demo.abantecart.com/index.php?rt=product/product&path=43_45&product_id=94"
"3","3","SKIN MINERALS FOR MEN CLEANSING CREAM","https://demo.abantecart.com/index.php?rt=product/product&path=43_45&product_id=95"
"3","3","LANCOME HYPNOSE DOLL LASHES MASCARA 4-PIECE GIFT SET","https://demo.abantecart.com/index.php?rt=product/product&path=43_45&product_id=108"
"3","3","LANCOME SLIMISSIME 360 SLIMMING ACTIVATING CONCENTRATE UNISEX TREATMENT","https://demo.abantecart.com/index.php?rt=product/product&path=43_45&product_id=107"
"3","4","ABSOLUTE ANTI-AGE SPOT REPLENISHING UNIFYING TREATMENTSPF 15","https://demo.abantecart.com/index.php?rt=product/product&path=43_48&product_id=68"
"3","5","FLASH BRONZER BODY GEL","https://demo.abantecart.com/index.php?rt=product/product&path=43_44&product_id=67"
"4","1","ACQUA DI GIO POUR HOMME","https://demo.abantecart.com/index.php?rt=product/product&path=49_51&product_id=80"
"4","1","ARMANI EAU DE TOILETTE SPRAY","https://demo.abantecart.com/index.php?rt=product/product&path=49_51&product_id=81"
"4","1","ARMANI CODE AFTER SHAVE BALM","https://demo.abantecart.com/index.php?rt=product/product&path=49_51&product_id=82"
"4","1","ARMANI CODE SPORT","https://demo.abantecart.com/index.php?rt=product/product&path=49_51&product_id=83"
"4","1","EUPHORIA MEN INTENSE EAU DE TOILETTE SPRAY","https://demo.abantecart.com/index.php?rt=product/product&path=49_51&product_id=86"
"4","1","MAN EAU DE TOILETTE SPRAY","https://demo.abantecart.com/index.php?rt=product/product&path=49_51&product_id=87"
"4","1","POUR HOMME EAU DE TOILETTE","https://demo.abantecart.com/index.php?rt=product/product&path=49_51&product_id=63"
"4","1","CK ONE SHOCK FOR HIM DEODORANT","https://demo.abantecart.com/index.php?rt=product/product&path=49_51&product_id=62"
"4","2","ARMANI CODE POUR FEMME","https://demo.abantecart.com/index.php?rt=product/product&path=49_50&product_id=84"
"4","2","FORBIDDEN EUPHORIA EAU DE PARFUM SPRAY","https://demo.abantecart.com/index.php?rt=product/product&path=49_50&product_id=85"
"4","2","CK ONE SUMMER 3.4 OZ","https://demo.abantecart.com/index.php?rt=product/product&path=49_50&product_id=88"
"4","2","SECRET OBSESSION PERFUME","https://demo.abantecart.com/index.php?rt=product/product&path=49_50&product_id=89"
"4","2","OBSESSION NIGHT PERFUME","https://demo.abantecart.com/index.php?rt=product/product&path=49_50&product_id=90"
"4","2","GUCCI GUILTY","https://demo.abantecart.com/index.php?rt=product/product&path=49_50&product_id=102"
"4","2","CALVIN KLEIN OBSESSION FOR WOMEN EDP SPRAY","https://demo.abantecart.com/index.php?rt=product/product&path=49_50&product_id=104"
"4","2","BVLGARI AQUA","https://demo.abantecart.com/index.php?rt=product/product&path=49_50&product_id=105"
"4","2","OMNIA EAU DE TOILETTE 65ML","https://demo.abantecart.com/index.php?rt=product/product&path=49_50&product_id=106"
"4","2","FLORA BY GUCCI EAU FRAICHE","https://demo.abantecart.com/index.php?rt=product/product&path=49_50&product_id=110"
"4","2","CK ONE GIFT SET","https://demo.abantecart.com/index.php?rt=product/product&path=49_50&product_id=79"
"4","2","BEAUTY EAU DE PARFUM","https://demo.abantecart.com/index.php?rt=product/product&path=49_50&product_id=64"
"5","1","MEN CARE ACTIVE CLEAN SHOWER TOOL","https://demo.abantecart.com/index.php?rt=product/product&path=58_63&product_id=77"
"5","1","LANCOME SLIMISSIME 360 SLIMMING ACTIVATING CONCENTRATE UNISEX TREATMENT","https://demo.abantecart.com/index.php?rt=product/product&path=58_63&product_id=107"
"5","1","DOVE MEN CARE BODY WASH","https://demo.abantecart.com/index.php?rt=product/product&path=58_63&product_id=75"
"5","2","ARMANI CODE AFTER SHAVE BALM","https://demo.abantecart.com/index.php?rt=product/product&path=58_59&product_id=82"
"5","2","EUPHORIA MEN INTENSE EAU DE TOILETTE SPRAY","https://demo.abantecart.com/index.php?rt=product/product&path=58_59&product_id=86"
"5","2","MAN EAU DE TOILETTE SPRAY","https://demo.abantecart.com/index.php?rt=product/product&path=58_59&product_id=87"
"5","2","OBSESSION NIGHT PERFUME","https://demo.abantecart.com/index.php?rt=product/product&path=58_59&product_id=90"
"5","2","CK IN2U EAU DE TOILETTE SPRAY FOR HIM","https://demo.abantecart.com/index.php?rt=product/product&path=58_59&product_id=78"
"5","3","SHAVING CREAM","https://demo.abantecart.com/index.php?rt=product/product&path=58_61&product_id=98"
"5","4","MEN CARE ACTIVE CLEAN SHOWER TOOL","https://demo.abantecart.com/index.php?rt=product/product&path=58_60&product_id=77"
"5","4","SKIN MINERALS FOR MEN CLEANSING CREAM","https://demo.abantecart.com/index.php?rt=product/product&path=58_60&product_id=95"
"5","4","EYE MASTER","https://demo.abantecart.com/index.php?rt=product/product&path=58_60&product_id=96"
"5","4","MEN CARE CLEAN COMFORT DEODORANT","https://demo.abantecart.com/index.php?rt=product/product&path=58_60&product_id=76"
"6","1","PRO-V COLOR HAIR SOLUTIONS COLOR PRESERVE SHINE CONDITIONER","https://demo.abantecart.com/index.php?rt=product/product&path=52_54&product_id=101"
"6","1","HIGHLIGHTING EXPRESSIONS","https://demo.abantecart.com/index.php?rt=product/product&path=52_54&product_id=73"
"6","1","BRUNETTE EXPRESSIONS CONDITIONER","https://demo.abantecart.com/index.php?rt=product/product&path=52_54&product_id=72"
"6","1","PANTENE PRO-V CONDITIONER, CLASSIC CARE","https://demo.abantecart.com/index.php?rt=product/product&path=52_54&product_id=71"
"6","1","SEAWEED CONDITIONER","https://demo.abantecart.com/index.php?rt=product/product&path=52_54&product_id=69"
"6","2","CURLS TO STRAIGHT SHAMPOO","https://demo.abantecart.com/index.php?rt=product/product&path=52_53&product_id=74"
"6","2","EAU PARFUMEE AU THE VERT SHAMPOO","https://demo.abantecart.com/index.php?rt=product/product&path=52_53&product_id=70"
"7","1","NEW FRENCH WITH EASE (1 BOOK 1 MP3 CD)","https://demo.abantecart.com/index.php?rt=product/product&path=65_66&product_id=111"
"7","2","THE MIRACLE MORNING: THE NOT-SO-OBVIOUS SECRET GUARANTEED TO TRANSFORM YOUR LIFE","https://demo.abantecart.com/index.php?rt=product/product&path=65_67&product_id=112"
"7","2","PAPER TOWNS BY JOHN GREEN","https://demo.abantecart.com/index.php?rt=product/product&path=65_67&product_id=113"
"7","2","ALLEGIANT BY VERONICA ROTH","https://demo.abantecart.com/index.php?rt=product/product&path=65_67&product_id=114"
